X,Y,PCBA1030,PCBA1461,PCBA1468,PCBA1688,PCBA2546,PCBA2551,PCBA504332,PCBA504339,PCBA504444,PCBA504467,PCBA540276,PCBA588855,PCBA624288,PCBA624296,PCBA624417,PCBA651635,PCBA686970,PCBA686978,PCBA686979,PCBA720504,PCBA720579,PCBA720580,PCBA883,PCBA884,PCBA891,PCBA938
17.827965,-33.912018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
-18.094204,8.867186,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
26.765438,-31.19227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
29.17315,-30.660185,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1.6607332,15.600847,,,,,,,,,,,,,,,1.0,0.0,,1.0,,0.0,0.0,0.0,,,,
38.770424,-2.7405264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
-4.11876,-18.693277,0.0,,1.0,,1.0,,0.0,0.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,
-3.7046103,-18.785597,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,
21.28932,-11.510183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
5.722371,-21.02611,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,
-5.5423856,-3.4684718,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,0.0,0.0,,,,0.0
23.211077,10.459592,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
-56.543747,11.101269,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,1.0,0.0
23.758978,-15.266533,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,
2.6849415,-12.113272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0
-2.666561,-3.2219174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,
-53.471424,1.3538308,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,0.0,1.0
-60.227337,13.298446,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
14.544604,-39.794975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
35.26053,-21.773363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7.3617826,-41.663082,,0.0,0.0,0.0,,,1.0,,,0.0,0.0,,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,
-8.268873,-2.6750205,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,1.0,,0.0,,,,,,
-19.291351,-38.16554,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2.2456558,-29.093063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,0.0
3.8804827,17.495794,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,
44.685467,-1.1261622,,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,,,,0.0,0.0,,,1.0,1.0,0.0,,,,,,
22.7923,-34.59403,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
-23.165617,-35.53833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
-21.405725,-32.652565,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,
10.436862,-3.2608418,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
