X,Y,PCBA1030,PCBA1461,PCBA1468,PCBA1688,PCBA2546,PCBA2551,PCBA504332,PCBA504339,PCBA504444,PCBA504467,PCBA540276,PCBA588855,PCBA624288,PCBA624296,PCBA624417,PCBA651635,PCBA686970,PCBA686978,PCBA686979,PCBA720504,PCBA720579,PCBA720580,PCBA883,PCBA884,PCBA891,PCBA938
9.570444,-29.385376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
-24.705353,3.1261284,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4.5312114,-22.196024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6.276492,-20.873486,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10.432046,3.0693347,,,,,,,,,,,,,,,1.0,0.0,,1.0,,0.0,0.0,0.0,,,,
27.940739,18.591633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
-11.231207,-39.5764,0.0,,1.0,,1.0,,0.0,0.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,
-13.897874,-42.738564,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,
12.611986,-5.0230627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
9.1362,-17.227894,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,
-23.277264,-2.7850857,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,0.0,0.0,,,,0.0
27.51902,14.67502,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
4.9715223,57.580334,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,1.0,0.0
-11.786141,-1.3412772,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,
-3.2691214,-39.582253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0
-17.620941,-15.257277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,
-0.15758795,59.92321,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,0.0,1.0
3.111805,65.81703,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
4.618692,-24.204103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
12.243242,-27.338562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1.0347558,-36.104824,,0.0,0.0,0.0,,,1.0,,,0.0,0.0,,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,
-27.98869,-15.068262,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,1.0,,0.0,,,,,,
